Year,Detail
1901,"As President William McKinley began his second term, he was fatally shot by anarchist Leon Czolgosz. Czolgosz stated that the President was ""an enemy of good working people"" and was later judged to be sane and executed. The chief event of McKinley's administration was the war with Spain, which resulted in the United States' acquisition of the Philippines and other islands. Theodore Roosevelt was promptly sworn in as his successor and embarked on a wide-ranging program of governmental reform and conservation of natural resources."
1901,"On April 28th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox."
1901,"In May, White Stockings Herm McFarland and Dummy Hoy set one of the first American League records (most homeruns in a game) with two grand slams during Chicago's 19-9 win over the Detroit Tigers. Detroit also set a Major League mark of their own with twelve errors (ten by the infield) that was amazingly matched by the White Sox in 1903 — against the Tigers."
1901,"With two outs in the ninth, Milwaukee Brewers pitcher Bill Reidy set a Major League record after surrendering ten consecutive hits for a 13-2 loss to the Boston Somersets on June 2nd."
1901,Cincinnati Reds ace Noodles Hahn struck out sixteen Boston Brave batters on May 22ndfor a 4-3 victory and a record that would stand until Jim Maloney matched it in 1963.
1901,"On June 20th, Honus Wagner became the first twentieth century player to steal home twice in a single game, as the Pittsburgh Pirates blanked the New York Giants, 7-0."
1901,"The Brooklyn Dodgers tied their highest score of the previous century (May 20, 1896) after beating the Cincinnati Reds 25-6 in a September 23rdouting at League Park II."
1901,"The American League formally organized with the Baltimore Orioles, Philadelphia Athletics, Boston Somersets, Washington Nationals, Cleveland Blues, Detroit Tigers, Milwaukee Brewers, and Chicago White Sox. Three of the leagues original clubs in Indianapolis, Minneapolis, and Buffalo were dropped. The player limit was set at fourteen per team, and the inaugural schedule was set at one-hundred forty games."
1901,"The National League Rules Committee decreed that all foul balls are to count as strikes, except after two, catchers must play within ten feet of the batter, a ball will be called if the pitcher does not throw to a ready and waiting batter within twenty seconds, and that the umpire will remove all players using indecent language."
1901,"At the December league meeting, the Milwaukee Brewers franchise was officially dropped from the American League and replaced by the St. Louis Browns."
